Parameter	Value
Version	1.5.3.12
User name	mbassani
Machine name	HOS49104
Date of writing	09/17/2016 08:47:48
Fixed modifications	
Decoy mode	revert
Special AAs	
Include contaminants	True
MS/MS tol. (FTMS)	20 ppm
Top MS/MS peaks per 100 Da. (FTMS)	12
MS/MS deisotoping (FTMS)	True
MS/MS tol. (ITMS)	0.5 Da
Top MS/MS peaks per 100 Da. (ITMS)	8
MS/MS deisotoping (ITMS)	False
MS/MS tol. (TOF)	40 ppm
Top MS/MS peaks per 100 Da. (TOF)	10
MS/MS deisotoping (TOF)	True
MS/MS tol. (Unknown)	0.5 Da
Top MS/MS peaks per 100 Da. (Unknown)	8
MS/MS deisotoping (Unknown)	False
PSM FDR	0.05
Protein FDR	1
Site FDR	0.01
Use Normalized Ratios For Occupancy	True
Min. peptide Length	7
Min. score for unmodified peptides	0
Min. score for modified peptides	40
Min. delta score for unmodified peptides	25
Min. delta score for modified peptides	25
Min. unique peptides	0
Min. razor peptides	1
Min. peptides	1
Use only unmodified peptides and	True
Modifications included in protein quantification	Oxidation (M);Acetyl (Protein N-term)
Peptides used for protein quantification	Razor
Discard unmodified counterpart peptides	True
Min. ratio count	2
Use delta score	False
iBAQ	False
iBAQ log fit	False
Match between runs	True
Matching time window [min]	0.7
Alignment time window [min]	20
Find dependent peptides	False
Fasta file	E:\O07Z-Ascites-HLAp\007ZAscite_mq_LncRNA.fasta
Labeled amino acid filtering	True
Site tables	Oxidation (M)Sites.txt
Decoy mode	revert
Special AAs	
Include contaminants	True
RT shift	False
Advanced ratios	True
AIF correlation	0.47
First pass AIF correlation	0.8
AIF topx	20
AIF min mass	0
AIF SIL weight	4
AIF ISO weight	2
AIF iterative	True
AIF threshold FDR	0.01
